spanish	english	pos	cefr	tags
a	to, at	prep	A1.1	
a veces	sometimes	phrase	A1.1	
abajo	down	adv	A1.1	
abril	April		A1.1	
abrir	to open	verb	A1.1	
abuela	grandmother		A1.1	
abuelo	grandfather		A1.1	
adiós	goodbye	interj	A1.1	
agosto	August		A1.1	
agua	water		A1.1	
ahora	now		A1.1	
alemana	German - nationality		A1.1	
alemán	German - language		A1.1	
allí	there	adv	A1.1	
almuerzo	lunch		A1.1	
alta	tall		A1.1	
amar	to love	verb	A1.1	
amarilla	yellow		A1.1	
americana	American		A1.1	
animal	animal		A1.1	
antes	before	adv	A1.1	
apartamento	apartment		A1.1	
apellido	surname		A1.1	
aquí	here	adv	A1.1	
Argentina	Argentina		A1.1	
arriba	up	adv	A1.1	
auto	car		A1.1	
autobús	bus		A1.1	
avión	airplane		A1.1	
ayer	yesterday	adv	A1.1	
azul	blue		A1.1	
año	year		A1.1	
baja	short		A1.1	
banco	bank		A1.1	
baño	bathroom		A1.1	
beber	to drink	verb	A1.1	
bicicleta	bicycle		A1.1	
bien	well	adv	A1.1	
blanca	white		A1.1	
boleto	ticket		A1.1	
bolígrafo	pen		A1.1	
bonita	pretty		A1.1	
buena	good		A1.1	
buenas noches	good night	interj	A1.1	
buenas tardes	good afternoon	interj	A1.1	
buenos	good		A1.1	
buenos días	good morning	interj	A1.1	
básquetbol	basketball		A1.1	
café	coffee		A1.1	
caliente	hot		A1.1	
calle	street		A1.1	
cama	bed		A1.1	
carne	meat		A1.1	
casa	house		A1.1	
catorce	fourteen	num	A1.1	
celular	mobile phone		A1.1	
cena	dinner		A1.1	
cerca	near	adv	A1.1	
cerrar	to close	verb	A1.1	
cien	one hundred	num	A1.1	
cinco	five	num	A1.1	
cincuenta	fifty	num	A1.1	
ciudad	city		A1.1	
cocina	kitchen		A1.1	
comenzar	to begin	verb	A1.1	
comer	to eat	verb	A1.1	
comprar	to buy	verb	A1.1	
computadora	computer		A1.1	
con	with	prep	A1.1	
correo electrónico	email	phrase	A1.1	
cuaderno	notebook		A1.1	
cuarenta	forty	num	A1.1	
cuatro	four	num	A1.1	
cumpleaños	birthday		A1.1	
cuándo	when		A1.1	
cuánta	how much		A1.1	
cuántas	how many		A1.1	
cómo	how		A1.1	
dar	to give	verb	A1.1	
de	of, from	prep	A1.1	
de nada	you're welcome	phrase	A1.1	
dentro	inside	adv	A1.1	
deporte	sport		A1.1	
derecha	right	adv	A1.1	
desayuno	breakfast		A1.1	
después	after	adv	A1.1	
diciembre	December		A1.1	
diez	ten	num	A1.1	
dinero	money		A1.1	
dirección	address		A1.1	
doce	twelve	num	A1.1	
domingo	Sunday		A1.1	
dos	two	num	A1.1	
día	day		A1.1	
dólar	dollar		A1.1	
dónde	where	adv	A1.1	
edad	age		A1.1	
el	the - masculine	det	A1.1	
ella	she	pron	A1.1	
ellas	they	pron	A1.1	
en	in, on	prep	A1.1	
enero	January		A1.1	
enfermera	nurse		A1.1	
entrar	to enter	verb	A1.1	
escribir	to write	verb	A1.1	
escuchar	to listen	verb	A1.1	
escuela	school		A1.1	
España	Spain		A1.1	
español	Spanish - language		A1.1	
española	Spanish - nationality		A1.1	
estar	to be - location, condition	verb	A1.1	
estudiante	student		A1.1	
estudiar	to study	verb	A1.1	
euro	euro		A1.1	
fea	ugly		A1.1	
febrero	February		A1.1	
francesa	French - nationality		A1.1	
francés	French - language		A1.1	
fruta	fruit		A1.1	
frío	cold		A1.1	
fuera	outside	adv	A1.1	
fútbol	soccer		A1.1	
gato	cat		A1.1	
gracias	thank you	interj	A1.1	
grande	big		A1.1	
gris	gray		A1.1	
gustar	to like	verb	A1.1	
hablar	to speak	verb	A1.1	
hacer	to do, make	verb	A1.1	
hasta luego	see you later	phrase	A1.1	
hasta mañana	see you tomorrow	phrase	A1.1	
hermana	sister		A1.1	
hermano	brother		A1.1	
hija	daughter		A1.1	
hijo	son		A1.1	
hola	hello	interj	A1.1	
hombre	man		A1.1	
hora	hour		A1.1	
hospital	hospital		A1.1	
hoy	today	adv	A1.1	
igualmente	likewise		A1.1	
inglesa	English - nationality		A1.1	
inglés	English - language		A1.1	
internet	internet		A1.1	
ir	to go	verb	A1.1	
italiana	Italian - nationality		A1.1	
italiano	Italian - language		A1.1	
izquierda	left	adv	A1.1	
joven	young		A1.1	
jueves	Thursday		A1.1	
jugar	to play	verb	A1.1	
julio	July		A1.1	
junio	June		A1.1	
la	the - feminine	det	A1.1	
las	the - feminine plural	det	A1.1	
leche	milk		A1.1	
leer	to read	verb	A1.1	
lejos	far	adv	A1.1	
libro	book		A1.1	
llegar	to arrive	verb	A1.1	
llover	to rain	verb	A1.1	
lo siento	I'm sorry	interj	A1.1	
los	the - masculine plural	det	A1.1	
lunes	Monday		A1.1	
lápiz	pencil		A1.1	
madre	mother		A1.1	
mal	badly	adv	A1.1	
