spanish	english	pos	cefr	tags
a	to, at	prep	A1.1	
a veces	sometimes	phrase	A1.1	MWU
abajo	down	adv	A1.1	
abril	April	noun	A1.1	
abrir	to open	verb	A1.1	tech
abuela	grandmother	noun	A1.1	society
abuelo	grandfather, grandmother	noun	A1.1	society
adiós	goodbye	interj	A1.1	society
agosto	August	noun	A1.1	
agua	water	noun	A1.1	food|nature
ahora	now	adv	A1.1	time
alemana	German - nationality	noun	A1.1	
alemán	German - language, German	pron	A1.1	countries
allí	there	adv	A1.1	
almuerzo	lunch	noun	A1.1	food
alta	tall	noun	A1.1	
amar	to love	verb	A1.1	society
amarilla	yellow	noun	A1.1	
americana	American	noun	A1.1	
animal	animal	noun	A1.1	nature
antes	before	adv	A1.1	time
apartamento	apartment	adv	A1.1	home
apellido	surname, last name	noun	A1.1	
aquí	here	adv	A1.1	
Argentina	Argentina	noun	A1.1	countries
arriba	up	adv	A1.1	
auto	car	noun	A1.1	
autobús	bus	noun	A1.1	travel
avión	airplane	noun	A1.1	nature|travel
ayer	yesterday	verb	A1.1	time
azul	blue	adj	A1.1	colors
año	year	noun	A1.1	health|time
baja	short	adj	A1.1	
banco	bank	noun	A1.1	finance
baño	bathroom	noun	A1.1	home
beber	to drink	verb	A1.1	food
bicicleta	bicycle	noun	A1.1	travel
bien	well	adv	A1.1	
blanca	white	noun	A1.1	
boleto	ticket	noun	A1.1	travel
bolígrafo	pen	noun	A1.1	education
bonita	pretty	noun	A1.1	
buena	good	adj	A1.1	
buenas noches	good night, good evening, night	phrase	A1.1	MWU|society
buenas tardes	good afternoon	phrase	A1.1	MWU|society|time
buenos	good	adj	A1.1	
buenos días	good morning	phrase	A1.1	MWU|society
básquetbol	basketball	noun	A1.1	media|sports
café	coffee, brown	adj	A1.1	colors
caliente	hot	adj	A1.1	food
calle	street	noun	A1.1	nature
cama	bed	noun	A1.1	home
carne	meat	noun	A1.1	food
casa	house	noun	A1.1	home
catorce	fourteen	num	A1.1	
celular	mobile phone, cell phone	verb	A1.1	tech
cena	dinner	noun	A1.1	food
cerca	near	adv	A1.1	health
cerrar	to close	verb	A1.1	tech
cien	one hundred	num	A1.1	
cinco	five	num	A1.1	
cincuenta	fifty	num	A1.1	
ciudad	city	noun	A1.1	
cocina	kitchen	noun	A1.1	home
comenzar	to begin	verb	A1.1	
comer	to eat	verb	A1.1	food
comprar	to buy	verb	A1.1	work
