spanish	english	pos	cefr	tags
a causa de	because of	connector	B1.1	philosophy
a favor de	in favor of	phrase	B1.1	philosophy
a fin de que	so that	connector	B1.1	philosophy
a la vez	at the same time	phrase	B1.1	time
a lo largo de	along, throughout	phrase	B1.1	philosophy
a menos que	unless	phrase	B1.1	philosophy
a partir de	from, starting from	phrase	B1.1	philosophy
a pesar de que	despite the fact that	connector	B1.1	philosophy
a través de	through	phrase	B1.1	philosophy
aborrecer	to loathe	verb	B1.1	health
absolutamente	absolutely	adv	B1.1	philosophy
abstracto	abstract	adj	B1.1	philosophy
abuso	abuse	noun	B1.1	society
acabar de	to have just	phrase	B1.1	philosophy
academia	academy	noun	B1.1	media
académico	academic	adj	B1.1	education
aceptar	to accept	verb	B1.1	society
acerca de	about	phrase	B1.1	philosophy
aclarar	to clarify	verb	B1.1	philosophy
actividad física	physical activity	phrase	B1.1	
actuar	to act	verb	B1.1	media
acuerdo	agreement	adj	B1.1	
acusar	to accuse	verb	B1.1	society
admiración	admiration	noun	B1.1	health
admirar	to admire	verb	B1.1	health|media
adorar	to adore	verb	B1.1	health
aficionado	fan	noun	B1.1	
agilidad	agility	noun	B1.1	
al mismo tiempo	at the same time	phrase	B1.1	time
alcalde	mayor	noun	B1.1	society
alcanzar	to reach	verb	B1.1	work
alcanzar a	to manage to	phrase	B1.1	philosophy
alegría	joy	noun	B1.1	
alergia	allergy	adj	B1.1	
algoritmo	algorithm	adj	B1.1	tech
altruismo	altruism	adj	B1.1	health
amateur	amateur	noun	B1.1	
ambicioso	ambitious	adj	B1.1	work
ambición	ambition	noun	B1.1	work
ambiguo	ambiguous	adj	B1.1	philosophy
ambivalencia	ambivalence	adj	B1.1	
amor	love	noun	B1.1	
amorosamente	lovingly	adv	B1.1	health
analizar	to analyze	verb	B1.1	education|philosophy|tech
analogía	analogy	adj	B1.1	education
analítico	analytical	adj	B1.1	tech
analógico	analog	adj	B1.1	tech
anhelo	yearning	noun	B1.1	health
anormal	abnormal	adj	B1.1	philosophy
ansiedad	anxiety	noun	B1.1	
anteriormente	previously	adv	B1.1	time
antibiótico	antibiotic	adj	B1.1	
anuncio	advertisement	adj	B1.1	
análisis	analysis	adj	B1.1	education
análisis de sangre	blood test	phrase	B1.1	
aparato	apparatus	noun	B1.1	
apasionadamente	passionately	adv	B1.1	health
apatía	apathy	noun	B1.1	health
aplicación	application	adj	B1.1	tech
apoyar	to support	verb	B1.1	society
apreciar	to appreciate	verb	B1.1	health|media
aptitud	aptitude	noun	B1.1	work
aptitudes	aptitudes	noun	B1.1	
apuntes	notes	noun	B1.1	
ardorosamente	ardently	adv	B1.1	health
argumentación	argumentation	adj	B1.1	education|philosophy
argumentar	to argue	verb	B1.1	education|philosophy
argumento	plot, argument	adj	B1.1	education|media
arqueología	archaeology	noun	B1.1	tech
arquitectura	architecture	noun	B1.1	media
arrepentimiento	regret, repentance	adj	B1.1	health
arrogancia	arrogance	noun	B1.1	
arte	art	noun	B1.1	media
artesanía	crafts	noun	B1.1	
artículo	article	adj	B1.1	
artístico	artistic	adj	B1.1	media
ascender	to be promoted	verb	B1.1	work
ascenso	promotion, advancement	adj	B1.1	work
asignatura obligatoria	mandatory subject	phrase	B1.1	
asignatura optativa	elective subject	phrase	B1.1	
asilo	asylum	noun	B1.1	
asistir	to assist	verb	B1.1	society
aspecto	aspect	noun	B1.1	education
aspiración	aspiration	noun	B1.1	work
astronomía	astronomy	noun	B1.1	tech
asumir	to assume	verb	B1.1	philosophy
así pues	thus	phrase	B1.1	philosophy
así que	so	phrase	B1.1	philosophy
atípico	atypical	adj	B1.1	philosophy
audiencia	audience	noun	B1.1	
auditorio	auditorium	noun	B1.1	media
aun cuando	even when	phrase	B1.1	philosophy
aunque	although, even though	conj	B1.1	philosophy
automatización	automation	noun	B1.1	tech
automatizar	to automate	verb	B1.1	tech|work
automático	automatic	adj	B1.1	tech
autoritario	authoritarian	adj	B1.1	society
avance	advance, progress	noun	B1.1	tech
avanzado	advanced	adj	B1.1	philosophy|tech
avanzar	to advance	verb	B1.1	work
ayudante	assistant	adj	B1.1	
ayudar	to help	verb	B1.1	society
añoranza	longing	noun	B1.1	health
bachillerato	high school diploma, baccalaureate	adj	B1.1	
bacteria	bacteria	noun	B1.1	
bailar	to dance	verb	B1.1	media
baja por enfermedad	sick leave	phrase	B1.1	
basura	trash	noun	B1.1	
beca	scholarship, grant	adj	B1.1	
belleza	beauty	noun	B1.1	
bello	beautiful	adj	B1.1	media
beneficio	benefit	noun	B1.1	
bibliografía	bibliography	noun	B1.1	
biocombustible	biofuel	noun	B1.1	
biodegradable	biodegradable	adj	B1.1	
biodiversidad	biodiversity	adj	B1.1	
biotecnología	biotechnology	noun	B1.1	tech
blog	blog	noun	B1.1	
boletín	bulletin	noun	B1.1	
bondad	kindness	noun	B1.1	health
básico	basic	adj	B1.1	philosophy
calcular	to calculate	verb	B1.1	education|philosophy|tech
calentamiento global	global warming	phrase	B1.1	
calificado	qualified	adj	B1.1	work
cambio climático	climate change	phrase	B1.1	
campaña	campaign	noun	B1.1	society
campeonato	championship	noun	B1.1	
campus	campus	noun	B1.1	
canal	channel	noun	B1.1	
candidato	candidate	noun	B1.1	
cantar	to sing	verb	B1.1	media
canto	singing	noun	B1.1	media
capa de ozono	ozone layer	phrase	B1.1	
capacidad	ability	noun	B1.1	work
capacitarse	to train	verb	B1.1	reflexive|work
cardiólogo	cardiologist	noun	B1.1	
cariñosamente	affectionately	adv	B1.1	health
carrera profesional	career	phrase	B1.1	work
carta de presentación	cover letter	phrase	B1.1	
catedrático	professor	noun	B1.1	
categorizar	to categorize	verb	B1.1	education
categoría	category	noun	B1.1	education|philosophy
celos	jealousy	adj	B1.1	
censurar	to censure	verb	B1.1	society
centrista	centrist	adj	B1.1	
cerebro	brain	noun	B1.1	health
certeza	certainty	noun	B1.1	philosophy
certificación	certification	adj	B1.1	tech
cesar de	to cease doing	phrase	B1.1	philosophy
ciencia	science	noun	B1.1	tech
científico	scientist, scientific	adj	B1.1	education|tech
cine	cinema	noun	B1.1	
cinematografía	cinematography	noun	B1.1	media
cirugía	surgery	noun	B1.1	
cita	citation, quote	noun	B1.1	
ciudadano	citizen	noun	B1.1	society
ciudadanía	citizenship	noun	B1.1	
civil	civil	adj	B1.1	society
claro	clear	adj	B1.1	philosophy
clasificación	classification	adj	B1.1	education
clasificar	to classify	verb	B1.1	education
clonación	cloning	noun	B1.1	
clásico	classic	adj	B1.1	media
cobardía	cowardice	adj	B1.1	
codificar	to code	verb	B1.1	tech
coherente	coherent	adv	B1.1	philosophy
colaborar	to collaborate	verb	B1.1	society
columna	column	noun	B1.1	
combatir	to combat	verb	B1.1	society
comentarista	commentator	adj	B1.1	
como	as, how	verb	B1.1	philosophy
como si	as if	phrase	B1.1	philosophy
comparación	comparison	noun	B1.1	education
comparar	to compare	verb	B1.1	education
comparativamente	comparatively	adv	B1.1	philosophy
compasión	compassion	noun	B1.1	health
compañero de clase	classmate	phrase	B1.1	
competencias	competencies	noun	B1.1	
competente	competent	adj	B1.1	work
competición	competition	noun	B1.1	
competir	to compete	verb	B1.1	work
complejo	complex	adj	B1.1	philosophy|tech
completamente	completely	adv	B1.1	philosophy
complicado	complicated	adj	B1.1	philosophy
componer	to compose	verb	B1.1	media
composición	composition	noun	B1.1	media
comprender	to understand	verb	B1.1	philosophy
